match_id,game_week,date,period,home_club_id,away_club_id,home_team,away_team,home_score,away_score,result
mpp_championship_match_2608318,4,2026-06-30T17:00:00.000Z,fullTime,mpp_championship_club_1221,mpp_championship_club_363,Côte d’Ivoire,Norvège,1,2,A
mpp_championship_match_2608317,4,2026-06-30T21:00:00.000Z,fullTime,mpp_championship_club_368,mpp_championship_club_361,France,Suède,3,0,H
mpp_championship_match_2608319,4,2026-07-01T02:00:00.000Z,fullTime,mpp_championship_club_659,mpp_championship_club_830,Mexique,Équateur,2,0,H
mpp_championship_match_2608320,4,2026-07-01T16:00:00.000Z,fullTime,mpp_championship_club_114,mpp_championship_club_1222,Angleterre,RD Congo,2,1,H
mpp_championship_match_2608322,4,2026-07-01T20:00:00.000Z,fullTime,mpp_championship_club_360,mpp_championship_club_1226,Belgique,Sénégal,3,2,H
mpp_championship_match_2608321,4,2026-07-02T00:00:00.000Z,fullTime,mpp_championship_club_596,mpp_championship_club_537,États-Unis,Bosnie,2,0,H
mpp_championship_match_2608324,4,2026-07-02T19:00:00.000Z,fullTime,mpp_championship_club_118,mpp_championship_club_515,Espagne,Autriche,3,0,H
mpp_championship_match_2608323,4,2026-07-02T23:00:00.000Z,fullTime,mpp_championship_club_359,mpp_championship_club_535,Portugal,Croatie,2,1,H
mpp_championship_match_2608325,4,2026-07-03T03:00:00.000Z,fullTime,mpp_championship_club_497,mpp_championship_club_1215,Suisse,Algérie,2,0,H
mpp_championship_match_2608328,4,2026-07-03T18:00:00.000Z,fullTime,mpp_championship_club_575,mpp_championship_club_1225,Australie,Égypte,1,1,D
mpp_championship_match_2608326,4,2026-07-03T22:00:00.000Z,fullTime,mpp_championship_club_632,mpp_championship_club_1529,Argentine,Cap-Vert,3,2,H
mpp_championship_match_2608327,4,2026-07-04T01:30:00.000Z,fullTime,mpp_championship_club_832,mpp_championship_club_1219,Colombie,Ghana,1,0,H
mpp_championship_match_2608348,5,2026-07-04T17:00:00.000Z,fullTime,mpp_championship_club_597,mpp_championship_club_1057,Canada,Maroc,0,3,A
mpp_championship_match_2608347,5,2026-07-04T21:00:00.000Z,fullTime,mpp_championship_club_835,mpp_championship_club_368,Paraguay,France,0,1,A
mpp_championship_match_2608349,5,2026-07-05T20:00:00.000Z,fullTime,mpp_championship_club_614,mpp_championship_club_363,Brésil,Norvège,1,2,A
mpp_championship_match_2608350,5,2026-07-06T01:00:00.000Z,fullTime,mpp_championship_club_659,mpp_championship_club_114,Mexique,Angleterre,2,3,A
mpp_championship_match_2608351,5,2026-07-06T19:00:00.000Z,fullTime,mpp_championship_club_359,mpp_championship_club_118,Portugal,Espagne,0,1,A
mpp_championship_match_2608352,5,2026-07-07T00:00:00.000Z,fullTime,mpp_championship_club_596,mpp_championship_club_360,États-Unis,Belgique,1,4,A
mpp_championship_match_2608353,5,2026-07-07T16:00:00.000Z,fullTime,mpp_championship_club_632,mpp_championship_club_1225,Argentine,Égypte,3,2,H
